CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,stream
100.0,2200.0,1.51,1801.0,6960.0,112.1,0.1,154824.0,144932.0,25.0,1
100.0,2200.0,1.62,1182.0,6440.0,73.6,0.1,157856.0,147836.0,25.0,1
100.0,2199.865,1.34,24.0,5080.0,67.8,0.1,157988.0,148100.0,25.0,1
93.8,2200.0,1.32,20.0,6560.0,64.9,0.1,158124.0,148100.0,25.0,1
93.3,2199.865,1.31,21.0,5560.0,60.8,0.1,158260.0,148100.0,25.0,1
100.0,2200.0,1.67,916.0,6800.0,57.3,0.1,158392.0,148364.0,25.0,1
100.0,2199.865,2.22,119.0,320.0,42.1,0.0,15204.0,996.0,1.25,0
100.0,2200.0,2.32,1.0,200.0,0.2,0.0,15204.0,996.0,25.0,0
100.0,2199.865,2.24,1.0,320.0,0.2,0.0,15204.0,996.0,25.0,0
100.0,2200.0,2.25,0.0,240.0,0.2,0.0,15204.0,996.0,25.0,0
100.0,2199.865,2.25,0.0,320.0,0.2,0.0,15204.0,996.0,25.0,0
100.0,2199.865,2.24,0.0,240.0,0.0,0.0,15204.0,996.0,25.0,0
100.0,2200.0,2.21,0.0,280.0,0.1,0.0,15204.0,996.0,25.0,0
100.0,2200.0,2.23,0.0,320.0,0.0,0.0,15204.0,996.0,25.0,0
100.0,2199.865,0.94,81400.0,1280.0,8624.6,0.7,881528.0,867132.0,1.25,1
100.0,2200.0,1.13,80365.0,24360.0,9080.0,0.7,881528.0,867192.0,25.0,1
100.0,2200.0,1.03,74063.0,19640.0,8336.8,0.7,881528.0,867192.0,25.0,1
100.0,2199.865,1.07,75653.0,24280.0,8657.7,0.7,881528.0,867192.0,25.0,1
100.0,2199.865,1.15,81231.0,18240.0,9271.1,0.7,881528.0,867192.0,25.0,1
100.0,2200.0,1.15,81327.0,23160.0,9275.9,0.7,881528.0,867192.0,25.0,1
100.0,2200.0,1.15,80910.0,21920.0,9227.7,0.7,881528.0,867192.0,25.0,1
100.0,2199.865,1.07,74913.0,1280.0,6479.7,0.7,876192.0,860436.0,1.25,1
100.0,2199.865,2.08,22034.0,22880.0,2427.6,0.7,876192.0,860504.0,25.0,1
100.0,2199.865,2.05,17356.0,23360.0,2052.3,0.7,876192.0,860504.0,25.0,1
100.0,2199.865,2.34,28779.0,21160.0,2941.9,0.7,876192.0,860504.0,25.0,1
100.0,2200.0,2.04,22255.0,19600.0,2258.2,0.7,876192.0,860504.0,25.0,1
100.0,2200.0,1.99,29128.0,23080.0,3234.7,0.7,876192.0,860504.0,25.0,1
100.0,2200.0,1.87,6667.0,1160.0,1343.0,0.6,749336.0,742556.0,1.25,0
100.0,2200.0,0.89,17361.0,1280.0,1564.3,0.5,623116.0,601120.0,1.25,0
100.0,2199.865,0.86,17780.0,1040.0,1655.6,0.5,623116.0,616444.0,1.25,0
100.0,2200.0,1.22,4719.0,14920.0,528.4,0.5,623116.0,616432.0,25.0,0
100.0,2200.0,1.21,4902.0,16080.0,558.1,0.5,623116.0,616432.0,25.0,0
100.0,2199.865,1.22,6632.0,16320.0,409.5,0.1,104504.0,102192.0,25.0,0
100.0,2200.0,1.28,7907.0,16520.0,503.8,0.1,105316.0,103004.0,25.0,0
100.0,2199.865,1.29,7469.0,15640.0,448.6,0.1,106436.0,104124.0,25.0,0
100.0,2199.865,2.95,81276.0,23760.0,7220.1,0.1,68112.0,66204.0,25.0,0
100.0,2200.0,2.87,81140.0,21960.0,7756.1,0.1,68112.0,66204.0,25.0,0
100.0,2199.865,2.9,84224.0,23480.0,9554.6,0.1,68112.0,66204.0,25.0,0
100.0,2200.0,2.93,82635.0,24240.0,8477.9,0.1,68112.0,66204.0,25.0,0
100.0,2200.0,2.78,80253.0,23640.0,8242.4,0.1,68112.0,66204.0,25.0,0
100.0,2200.0,2.73,82709.0,22840.0,8415.8,0.1,68112.0,66204.0,25.0,0
100.0,2200.0,2.83,81019.0,23120.0,6931.0,0.1,68112.0,66204.0,25.0,0
